Point ID,Points_0,Points_1,Points_2,Points_Magnitude
2,-2.369375229,0.5095011,1.39E-18,2.423536778
3,-2.369375229,0.50950104,-0.007837918,2.423549414
6,-2.369375229,0.5095011,-0.017422283,2.423599482
4,-2.369375229,0.5095011,-0.093472354,2.425338507
5,-2.369375229,0.509501874,-0.135458797,2.427319527
32,-2.369375229,0.508931518,-0.14725323,2.427886724
31,-2.369375229,0.508910418,-0.147659689,2.42790699
30,-2.369375229,0.508723557,-0.14897041,2.42794776
18,-2.369375229,0.507217586,-0.159828067,2.428323269
19,-2.369375229,0.506925404,-0.161130816,2.428348303
20,-2.369375229,0.504546285,-0.171945035,2.428594351
58,-2.369375229,0.504163086,-0.173241735,2.428606987
56,-2.369375229,0.50101918,-0.183976963,2.428745985
57,-2.369375229,0.500294983,-0.185909301,2.428743839
54,-2.369375229,0.494324446,-0.201757237,2.428786039
55,-2.369375229,0.493417025,-0.203659073,2.42876029
52,-2.369375229,0.485986322,-0.218949765,2.428592443
53,-2.369375229,0.484884262,-0.220794961,2.428539038
50,-2.369375229,0.476012081,-0.235237524,2.428139925
51,-2.369375229,0.47471118,-0.237003967,2.428056955
48,-2.369375229,0.464492708,-0.250409991,2.4274261
49,-2.369375229,0.463003516,-0.252085418,2.427314997
46,-2.369375229,0.451648474,-0.264421791,2.426487923
47,-2.369375229,0.449986607,-0.265990317,2.426350594
44,-2.369375229,0.437703341,-0.277242601,2.425363302
45,-2.369375229,0.435882747,-0.278690517,2.425201178
42,-2.369375229,0.422806293,-0.288855016,2.424075365
43,-2.369375229,0.42083931,-0.290171891,2.423890352
40,-2.369375229,0.407058507,-0.299249709,2.422640324
41,-2.369375229,0.404237479,-0.300790995,2.422358751
38,-2.369375229,0.384927392,-0.311250925,2.420534134
39,-2.369375229,0.381912082,-0.31256938,2.420226336
36,-2.369375229,0.361792266,-0.321357667,2.418285131
37,-2.369375229,0.358621955,-0.322467715,2.417960644
34,-2.369375229,0.337931901,-0.329751194,2.415961981
35,-2.369375229,0.336288869,-0.330217332,2.415796518
33,-2.369375229,0.325756967,-0.333237648,2.414767981
21,-2.369375229,0.324079424,-0.333634287,2.414597034
22,-2.369375229,0.313423187,-0.336193472,2.413544893
23,-2.369375229,0.311713845,-0.336513668,2.413368225
29,-2.369375229,0.300952435,-0.338574827,2.412290335
28,-2.369375229,0.29922235,-0.338812023,2.412108421
27,-2.369375229,0.288439542,-0.340334862,2.411008835
26,-2.369375229,0.286700219,-0.340482563,2.410822392
25,-2.369375229,0.275997996,-0.341425776,2.409706593
24,-2.369375229,0.268826932,-0.341649711,2.408927441
0,-2.369375229,0.142954707,-0.341800004,2.398166418
1,-2.369375229,0.099016845,-0.341800004,2.395948887
7,-2.369375229,-4.33E-18,-0.341800004,2.393901825
